# map to pair en_demand and en_prices to compute the World en_prices weighted by en_demand,
en_demand_variable,en_price_variable
Final Energy,Price|Final Energy
Final Energy|Electricity,Price|Final Energy|Electricity
Final Energy|Gases,
Final Energy|Heat,
Final Energy|Hydrogen,
Final Energy|Industry,Price|Final Energy|Industry
Final Energy|Industry|Cement|Electricity,
Final Energy|Industry|Chemicals|Ammonia,
Final Energy|Industry|Chemicals|Ammonia|Gases,
Final Energy|Industry|Chemicals|Ammonia|Hydrogen,
Final Energy|Industry|Chemicals|Ammonia|Liquids,
Final Energy|Industry|Chemicals|Ammonia|Solids,
Final Energy|Industry|Chemicals|Ammonia|Solids|Fossil,
Final Energy|Industry|Chemicals|Electricity,
Final Energy|Industry|Chemicals|Gases,
Final Energy|Industry|Chemicals|Heat,
Final Energy|Industry|Chemicals|Hydrogen,
Final Energy|Industry|Chemicals|Liquids,
Final Energy|Industry|Chemicals|Solids,
Final Energy|Industry|Chemicals|Solids|Bioenergy,
Final Energy|Industry|Chemicals|Solids|Fossil,
Final Energy|Industry|Electricity,Price|Final Energy|Industry|Electricity
Final Energy|Industry|Gases,Price|Final Energy|Industry|Gases
Final Energy|Industry|Heat,
Final Energy|Industry|Hydrogen,
Final Energy|Industry|Liquids,Price|Final Energy|Industry|Liquids
Final Energy|Industry|Non-ferrous metals,
Final Energy|Industry|Non-ferrous metals|Electricity,
Final Energy|Industry|Non-ferrous metals|Gases,
Final Energy|Industry|Non-ferrous metals|Liquids,
Final Energy|Industry|Non-ferrous metals|Solids,
Final Energy|Industry|Non-ferrous metals|Solids|Bioenergy,
Final Energy|Industry|Non-ferrous metals|Solids|Fossil,
Final Energy|Industry|Pupl and Paper,
Final Energy|Industry|Pupl and Paper|Electricity,
Final Energy|Industry|Solar,
Final Energy|Industry|Solids,
Final Energy|Industry|Solids|Biomass,
Final Energy|Industry|Solids|Coal,
Final Energy|Industry|Steel,
Final Energy|Industry|Steel|Electricity,
Final Energy|Industry|Steel|Hydrogen,
Final Energy|Industry|Steel|Liquids,
Final Energy|Industry|Steel|Solids,
Final Energy|Industry|Steel|Solids|Bioenergy,
Final Energy|Industry|Steel|Solids|Fossil,
Final Energy|Liquids,
Final Energy|Non-Energy Use,
Final Energy|Non-Energy Use|Coal,
Final Energy|Non-Energy Use|Gas,
Final Energy|Non-Energy Use|Oil,
Final Energy|Residential and Commercial|Commercial,
Final Energy|Residential and Commercial|Residential,Price|Final Energy|Buildings|Residential
Final Energy|Residential and Commercial,Price|Final Energy|Buildings
Final Energy|Residential and Commercial|Commercial|Cooling,
Final Energy|Residential and Commercial|Commercial|Electricity,
Final Energy|Residential and Commercial|Commercial|Gases,
Final Energy|Residential and Commercial|Commercial|Heating,
Final Energy|Residential and Commercial|Commercial|Heating|Space,
Final Energy|Residential and Commercial|Commercial|Hydrogen,
Final Energy|Residential and Commercial|Commercial|Liquids,
Final Energy|Residential and Commercial|Commercial|Solids,
Final Energy|Residential and Commercial|Commercial|Solids|Biomass,
Final Energy|Residential and Commercial|Commercial|Solids|Coal,
Final Energy|Residential and Commercial|Cooling,
Final Energy|Residential and Commercial|Electricity,
Final Energy|Residential and Commercial|Gases,
Final Energy|Residential and Commercial|Heating,
Final Energy|Residential and Commercial|Heating|Space,
Final Energy|Residential and Commercial|Hydrogen,
Final Energy|Residential and Commercial|Liquids,
Final Energy|Residential and Commercial|Residential|Cooling,
Final Energy|Residential and Commercial|Residential|Electricity,Price|Final Energy|Buildings|Residential|Electricity
Final Energy|Residential and Commercial|Residential|Electricity,Price|Final Energy|Buildings|Residential|Electricity|Index
Final Energy|Residential and Commercial|Residential|Gases,Price|Final Energy|Buildings|Residential|Gases
Final Energy|Residential and Commercial|Residential|Gases,Price|Final Energy|Buildings|Residential|Gases|Gas
Final Energy|Residential and Commercial|Residential|Gases,Price|Final Energy|Buildings|Residential|Gases|Index
Final Energy|Residential and Commercial|Residential|Gases,Price|Final Energy|Buildings|Residential|Gases|Gas|Index
Final Energy|Residential and Commercial|Residential|Heating,
Final Energy|Residential and Commercial|Residential|Heating|Space,
Final Energy|Residential and Commercial|Residential|Hydrogen,
Final Energy|Residential and Commercial|Residential|Liquids,Price|Final Energy|Buildings|Residential|Liquids
Final Energy|Residential and Commercial|Residential|Solids,Price|Final Energy|Buildings|Residential|Solids
Final Energy|Residential and Commercial|Residential|Solids|Biomass,Price|Final Energy|Buildings|Residential|Solids|Biomass
Final Energy|Residential and Commercial|Residential|Solids|Coal,Price|Final Energy|Buildings|Residential|Solids|Coal
Final Energy|Residential and Commercial|Solids,
Final Energy|Residential and Commercial|Solids|Biomass,
Final Energy|Residential and Commercial|Solids|Biomass|Traditional,
Final Energy|Residential and Commercial|Solids|Coal,
Final Energy|Solar,
Final Energy|Solids,
Final Energy|Solids|Biomass,
Final Energy|Solids|Biomass|Modern,
Final Energy|Solids|Biomass|Traditional,
Final Energy|Solids|Coal,
Final Energy|Transportation,Price|Final Energy|Transportation
Final Energy|Transportation|Aviation,
Final Energy|Transportation|Aviation|Passenger,
Final Energy|Transportation|Electricity,Price|Final Energy|Transportation|Electricity
Final Energy|Transportation|Freight,
Final Energy|Transportation|Freight|Electricity,
Final Energy|Transportation|Freight|Gases,
Final Energy|Transportation|Freight|Hydrogen,
Final Energy|Transportation|Freight|Liquids,
Final Energy|Transportation|Gases,
Final Energy|Transportation|Hydrogen,
Final Energy|Transportation|Liquids,
Final Energy|Transportation|Maritime,
Final Energy|Transportation|Maritime|Freight,
Final Energy|Transportation|Passenger,
Final Energy|Transportation|Passenger|Electricity,
Final Energy|Transportation|Passenger|Gases,
Final Energy|Transportation|Passenger|Hydrogen,
Final Energy|Transportation|Passenger|Liquids,
Final Energy|Transportation|Rail,
Final Energy|Transportation|Rail|Freight,
Final Energy|Transportation|Rail|Passenger,
Final Energy|Transportation|Road,
Final Energy|Transportation|Road|Freight,
Final Energy|Transportation|Road|Passenger,
Final Energy|Transportation|Road|Passenger|2W&3W,
Final Energy|Transportation|Road|Passenger|4W,
Final Energy|Transportation|Road|Passenger|Bus,
Final Energy|Water,
Final Energy|Water|Desalination,
Final Energy|Water|Desalination|Electricity,
Final Energy|Water|Desalination|Gases,
Final Energy|Water|Desalination|Liquids,
Final Energy|Water|Industry,
Final Energy|Water|Industry|Electricity,
Final Energy|Water|Irrigation,
Final Energy|Water|Irrigation|Electricity,
Final Energy|Water|Municipal,
Final Energy|Water|Municipal|Electricity,
Primary Energy,Price|Primary Energy
Primary Energy|Biomass,Price|Primary Energy|Biomass
Primary Energy|Biomass,Price|Primary Energy|Biomass|Index
Primary Energy|Biomass|1st Generation,
Primary Energy|Biomass|Electricity,
Primary Energy|Biomass|Modern,
Primary Energy|Biomass|Modern|w/o CCS,
Primary Energy|Biomass|Residues,
Primary Energy|Biomass|Traditional,
Primary Energy|Biomass|w/o CCS,
Primary Energy|Coal,Price|Primary Energy|Coal
Primary Energy|Coal,Price|Primary Energy|Coal|Index
Primary Energy|Coal|w/o CCS,
Primary Energy|Fossil,
Primary Energy|Fossil|w/o CCS,
Primary Energy|Gas,Price|Primary Energy|Gas
Primary Energy|Gas,Price|Primary Energy|Gas|Index
Primary Energy|Gas|w/o CCS,
Primary Energy|Non-Biomass Renewables,
Primary Energy|Non-Biomass Renewables|Geothermal,
Primary Energy|Non-Biomass Renewables|Hydro,
Primary Energy|Non-Biomass Renewables|Solar,
Primary Energy|Non-Biomass Renewables|Wind,
Primary Energy|Nuclear,
Primary Energy|Oil,Price|Primary Energy|Oil
Primary Energy|Oil,Price|Primary Energy|Oil|Index
Primary Energy|Oil|w/o CCS,
Primary Energy|Secondary Energy Trade,
Secondary Energy,Price|Secondary Energy
Secondary Energy|Electricity,Price|Secondary Energy|Electricity
Secondary Energy|Electricity,Price|Secondary Energy|Electricity|Index
Secondary Energy|Electricity|Biomass,
Secondary Energy|Electricity|Biomass|w/o CCS,
Secondary Energy|Electricity|Coal,
Secondary Energy|Electricity|Coal|w/o CCS,
Secondary Energy|Electricity|Gas,
Secondary Energy|Electricity|Gas|CC,
Secondary Energy|Electricity|Gas|CC|w/o CCS,
Secondary Energy|Electricity|Gas|ST,
Secondary Energy|Electricity|Gas|ST|w/o CCS,
Secondary Energy|Electricity|Gas|w/o CCS,
Secondary Energy|Electricity|Geothermal,
Secondary Energy|Electricity|Hydro,
Secondary Energy|Electricity|Non-Biomass Renewables,
Secondary Energy|Electricity|Nuclear,
Secondary Energy|Electricity|Oil,
Secondary Energy|Electricity|Oil|w/o CCS,
Secondary Energy|Electricity|Solar,
Secondary Energy|Electricity|Solar|CSP,
Secondary Energy|Electricity|Solar|PV,
Secondary Energy|Electricity|Wind,
Secondary Energy|Electricity|Wind|Offshore,
Secondary Energy|Electricity|Wind|Onshore,
