#Carbon Sequestration by Sector,,,,,,,,,,
sector,technology,var1,var2,var3,var4,var5,var6,var7,var8,unit_conv
industrial feedstocks,refined liquids,,,,,,,,,3.666667
cement,cement CCS,Carbon Sequestration|CCS,Carbon Sequestration|CCS|Industrial Processes,,,,,,,3.666667
N fertilizer,gas CCS,Carbon Sequestration|CCS,Carbon Sequestration|CCS|Fossil,,,,,,,3.666667
H2 central production,coal chemical CCS,Carbon Sequestration|CCS,Carbon Sequestration|CCS|Fossil,,,,,,,3.666667
H2 central production,natural gas steam reforming CCS,Carbon Sequestration|CCS,Carbon Sequestration|CCS|Fossil,,,,,,,3.666667
base load generation,biomass_base_IGCC_CCS,Carbon Sequestration|CCS,Carbon Sequestration|CCS|Biomass,,,,,,,3.666667
base load generation,biomass_base_conv_CCS,Carbon Sequestration|CCS,Carbon Sequestration|CCS|Biomass,,,,,,,3.666667
base load generation,coal_base_IGCC_CCS,Carbon Sequestration|CCS,Carbon Sequestration|CCS|Fossil,,,,,,,3.666667
base load generation,coal_base_conv pul_CCS,Carbon Sequestration|CCS,Carbon Sequestration|CCS|Fossil,,,,,,,3.666667
base load generation,gas_base_CC_CCS,Carbon Sequestration|CCS,Carbon Sequestration|CCS|Fossil,,,,,,,3.666667
coal to liquids,coal to liquids CCS level 1,Carbon Sequestration|CCS,Carbon Sequestration|CCS|Fossil,,,,,,,3.666667
coal to liquids,coal to liquids CCS level 2,Carbon Sequestration|CCS,Carbon Sequestration|CCS|Fossil,,,,,,,3.666667
intermediate generation,biomass_int_IGCC_CCS,Carbon Sequestration|CCS,Carbon Sequestration|CCS|Biomass,,,,,,,3.666667
intermediate generation,biomass_int_conv_CCS,Carbon Sequestration|CCS,Carbon Sequestration|CCS|Biomass,,,,,,,3.666667
intermediate generation,coal_int_IGCC_CCS,Carbon Sequestration|CCS,Carbon Sequestration|CCS|Fossil,,,,,,,3.666667
intermediate generation,coal_int_conv pul_CCS,Carbon Sequestration|CCS,Carbon Sequestration|CCS|Fossil,,,,,,,3.666667
intermediate generation,gas_int_CC_CCS,Carbon Sequestration|CCS,Carbon Sequestration|CCS|Fossil,,,,,,,3.666667
peak generation,gas_peak_CC_CCS,Carbon Sequestration|CCS,Carbon Sequestration|CCS|Fossil,,,,,,,3.666667
subpeak generation,gas_subpeak_CC_CCS,Carbon Sequestration|CCS,Carbon Sequestration|CCS|Fossil,,,,,,,3.666667
biomass liquids,FT biofuels CCS level 1,Carbon Sequestration|CCS,Carbon Sequestration|CCS|Biomass,,,,,,,3.666667
biomass liquids,FT biofuels CCS level 2,Carbon Sequestration|CCS,Carbon Sequestration|CCS|Biomass,,,,,,,3.666667
biomass liquids,cellulosic ethanol CCS level 1,Carbon Sequestration|CCS,Carbon Sequestration|CCS|Biomass,,,,,,,3.666667
biomass liquids,cellulosic ethanol CCS level 2,Carbon Sequestration|CCS,Carbon Sequestration|CCS|Biomass,,,,,,,3.666667
base load generation,refined liquids_base_CC_CCS,Carbon Sequestration|CCS,Carbon Sequestration|CCS|Fossil,,,,,,,3.666667
intermediate generation,refined liquids_int_CC_CCS,Carbon Sequestration|CCS,Carbon Sequestration|CCS|Fossil,,,,,,,3.666667
peak generation,refined liquids_peak_CC_CCS,Carbon Sequestration|CCS,Carbon Sequestration|CCS|Fossil,,,,,,,3.666667
subpeak generation,refined liquids_subpeak_CC_CCS,Carbon Sequestration|CCS,Carbon Sequestration|CCS|Fossil,,,,,,,3.666667