Model,Variable,Unit,Internal_variable
GCAM 7.0,Agricultural Demand,million t DM/yr,ag_demand_clean
GCAM 7.0,Agricultural Demand|Crops,million t DM/yr,ag_demand_clean
GCAM 7.0,Agricultural Demand|Crops|Energy,million t DM/yr,ag_demand_clean
GCAM 7.0,Agricultural Demand|Crops|Energy|1st generation,million t DM/yr,ag_demand_clean
GCAM 7.0,Agricultural Demand|Crops|Energy|2nd generation,million t DM/yr,ag_demand_clean
GCAM 7.0,Agricultural Demand|Crops|Feed,million t DM/yr,ag_demand_clean
GCAM 7.0,Agricultural Demand|Crops|Food,million t DM/yr,ag_demand_clean
GCAM 7.0,Agricultural Demand|Crops|Other,million t DM/yr,ag_demand_clean
GCAM 7.0,Agricultural Demand|Livestock,million t DM/yr,ag_demand_clean
GCAM 7.0,Agricultural Demand|Livestock|Food,million t DM/yr,ag_demand_clean
GCAM 7.0,Agricultural Demand|Livestock|Other,million t DM/yr,ag_demand_clean
GCAM 7.0,Agricultural Production,million t DM/yr,ag_production_clean
GCAM 7.0,Agricultural Production|Energy,million t DM/yr,
GCAM 7.0,Agricultural Production|Energy|Crops,million t DM/yr,
GCAM 7.0,Agricultural Production|Energy|Residues,million t DM/yr,
GCAM 7.0,Agricultural Production|Non-Energy,million t DM/yr,
GCAM 7.0,Agricultural Production|Non-Energy|Crops,million t DM/yr,
GCAM 7.0,Agricultural Production|Non-Energy|Livestock,million t DM/yr,
GCAM 7.0,Capacity Additions|Electricity|Biomass,GW/yr,elec_capacity_add_clean
GCAM 7.0,Capacity Additions|Electricity|Biomass|w/ CCS,GW/yr,elec_capacity_add_clean
GCAM 7.0,Capacity Additions|Electricity|Biomass|w/o CCS,GW/yr,elec_capacity_add_clean
GCAM 7.0,Capacity Additions|Electricity|Coal,GW/yr,elec_capacity_add_clean
GCAM 7.0,Capacity Additions|Electricity|Coal|w/ CCS,GW/yr,elec_capacity_add_clean
GCAM 7.0,Capacity Additions|Electricity|Coal|w/o CCS,GW/yr,elec_capacity_add_clean
GCAM 7.0,Capacity Additions|Electricity|Gas,GW/yr,elec_capacity_add_clean
GCAM 7.0,Capacity Additions|Electricity|Gas|w/ CCS,GW/yr,elec_capacity_add_clean
GCAM 7.0,Capacity Additions|Electricity|Gas|w/o CCS,GW/yr,elec_capacity_add_clean
GCAM 7.0,Capacity Additions|Electricity|Geothermal,GW/yr,elec_capacity_add_clean
GCAM 7.0,Capacity Additions|Electricity|Hydro,GW/yr,
GCAM 7.0,Capacity Additions|Electricity|Nuclear,GW/yr,elec_capacity_add_clean
GCAM 7.0,Capacity Additions|Electricity|Oil,GW/yr,elec_capacity_add_clean
GCAM 7.0,Capacity Additions|Electricity|Oil|w/ CCS,GW/yr,elec_capacity_add_clean
GCAM 7.0,Capacity Additions|Electricity|Oil|w/o CCS,GW/yr,elec_capacity_add_clean
GCAM 7.0,Capacity Additions|Electricity|Solar,GW/yr,elec_capacity_add_clean
GCAM 7.0,Capacity Additions|Electricity|Solar|CSP,GW/yr,elec_capacity_add_clean
GCAM 7.0,Capacity Additions|Electricity|Solar|PV,GW/yr,elec_capacity_add_clean
GCAM 7.0,Capacity Additions|Electricity|Storage Capacity,GWh/yr,
GCAM 7.0,Capacity Additions|Electricity|Transmissions Grid,GWkm/yr,
GCAM 7.0,Capacity Additions|Electricity|Wind,GW/yr,elec_capacity_add_clean
GCAM 7.0,Capacity Additions|Electricity|Wind|Offshore,GW/yr,elec_capacity_add_clean
GCAM 7.0,Capacity Additions|Electricity|Wind|Onshore,GW/yr,elec_capacity_add_clean
GCAM 7.0,Capacity|Electricity,GW,elec_capacity_tot_clean
GCAM 7.0,Capacity|Electricity|Biomass,GW,elec_capacity_tot_clean
GCAM 7.0,Capacity|Electricity|Biomass|w/ CCS,GW,elec_capacity_tot_clean
GCAM 7.0,Capacity|Electricity|Biomass|w/o CCS,GW,elec_capacity_tot_clean
GCAM 7.0,Capacity|Electricity|Coal,GW,elec_capacity_tot_clean
GCAM 7.0,Capacity|Electricity|Coal|w/ CCS,GW,elec_capacity_tot_clean
GCAM 7.0,Capacity|Electricity|Coal|w/o CCS,GW,elec_capacity_tot_clean
GCAM 7.0,Capacity|Electricity|Gas,GW,elec_capacity_tot_clean
GCAM 7.0,Capacity|Electricity|Gas|w/ CCS,GW,elec_capacity_tot_clean
GCAM 7.0,Capacity|Electricity|Gas|w/o CCS,GW,elec_capacity_tot_clean
GCAM 7.0,Capacity|Electricity|Geothermal,GW,elec_capacity_tot_clean
GCAM 7.0,Capacity|Electricity|Hydro,GW,elec_capacity_tot_clean
GCAM 7.0,Capacity|Electricity|Nuclear,GW,elec_capacity_tot_clean
GCAM 7.0,Capacity|Electricity|Ocean,GW,
GCAM 7.0,Capacity|Electricity|Oil,GW,elec_capacity_tot_clean
GCAM 7.0,Capacity|Electricity|Oil|w/ CCS,GW,elec_capacity_tot_clean
GCAM 7.0,Capacity|Electricity|Oil|w/o CCS,GW,elec_capacity_tot_clean
GCAM 7.0,Capacity|Electricity|Other,GW,
GCAM 7.0,Capacity|Electricity|Peak Demand,GW,
GCAM 7.0,Capacity|Electricity|Solar,GW,elec_capacity_tot_clean
GCAM 7.0,Capacity|Electricity|Solar|CSP,GW,elec_capacity_tot_clean
GCAM 7.0,Capacity|Electricity|Solar|PV,GW,elec_capacity_tot_clean
GCAM 7.0,Capacity|Electricity|Storage,GW,
GCAM 7.0,Capacity|Electricity|Storage Capacity,GW,
GCAM 7.0,Capacity|Electricity|Transmissions Grid,GW,
GCAM 7.0,Capacity|Electricity|Wind,GW,elec_capacity_tot_clean
GCAM 7.0,Capacity|Electricity|Wind|Offshore,GW,elec_capacity_tot_clean
GCAM 7.0,Capacity|Electricity|Wind|Onshore,GW,elec_capacity_tot_clean
GCAM 7.0,Capacity|Gases,GW,
GCAM 7.0,Capacity|Gases|Biomass,GW,
GCAM 7.0,Capacity|Gases|Biomass|w/ CCS,GW,
GCAM 7.0,Capacity|Gases|Biomass|w/o CCS,GW,
GCAM 7.0,Capacity|Gases|Coal,GW,
GCAM 7.0,Capacity|Gases|Coal|w/ CCS,GW,
GCAM 7.0,Capacity|Gases|Coal|w/o CCS,GW,
GCAM 7.0,Capacity|Hydrogen,GW,
GCAM 7.0,Capacity|Hydrogen|Biomass,GW,
GCAM 7.0,Capacity|Hydrogen|Biomass|w/ CCS,GW,
GCAM 7.0,Capacity|Hydrogen|Biomass|w/o CCS,GW,
GCAM 7.0,Capacity|Hydrogen|Coal,GW,
GCAM 7.0,Capacity|Hydrogen|Coal|w/ CCS,GW,
GCAM 7.0,Capacity|Hydrogen|Coal|w/o CCS,GW,
GCAM 7.0,Capacity|Hydrogen|Electricity,GW,
GCAM 7.0,Capacity|Hydrogen|Gas,GW,
GCAM 7.0,Capacity|Hydrogen|Gas|w/ CCS,GW,
GCAM 7.0,Capacity|Hydrogen|Gas|w/o CCS,GW,
GCAM 7.0,Capacity|Liquids,GW,
GCAM 7.0,Capacity|Liquids|Biomass,GW,
GCAM 7.0,Capacity|Liquids|Biomass|w/ CCS,GW,
GCAM 7.0,Capacity|Liquids|Biomass|w/o CCS,GW,
GCAM 7.0,Capacity|Liquids|Coal,GW,
GCAM 7.0,Capacity|Liquids|Coal|w/ CCS,GW,
GCAM 7.0,Capacity|Liquids|Coal|w/o CCS,GW,
GCAM 7.0,Capacity|Liquids|Gas,GW,
GCAM 7.0,Capacity|Liquids|Gas|w/ CCS,GW,
GCAM 7.0,Capacity|Liquids|Gas|w/o CCS,GW,
GCAM 7.0,Capacity|Liquids|Oil,GW,
GCAM 7.0,Capacity|Transportation|Aviation|Freight,billion tkm/yr,
GCAM 7.0,Capacity|Transportation|Aviation|Passenger,billion pkm/yr,
GCAM 7.0,Capacity|Transportation|Maritime|Freight,billion tkm/yr,
GCAM 7.0,Capacity|Transportation|Maritime|Passenger,billion pkm/yr,
GCAM 7.0,Capacity|Transportation|Rail|Freight,billion tkm/yr,
GCAM 7.0,Capacity|Transportation|Rail|Passenger,billion pkm/yr,
GCAM 7.0,Capacity|Transportation|Road|Freight,billion tkm/yr,
GCAM 7.0,Capital Cost|Electricity|Biomass|w/ CCS,US$2010/kW,elec_capital_clean
GCAM 7.0,Capital Cost|Electricity|Biomass|w/o CCS,US$2010/kW,elec_capital_clean
GCAM 7.0,Capital Cost|Electricity|Coal|w/ CCS,US$2010/kW,elec_capital_clean
GCAM 7.0,Capital Cost|Electricity|Coal|w/o CCS,US$2010/kW,elec_capital_clean
GCAM 7.0,Capital Cost|Electricity|Gas|w/ CCS,US$2010/kW,elec_capital_clean
GCAM 7.0,Capital Cost|Electricity|Gas|w/o CCS,US$2010/kW,elec_capital_clean
GCAM 7.0,Capital Cost|Electricity|Geothermal,US$2010/kW,elec_capital_clean
GCAM 7.0,Capital Cost|Electricity|Hydro,US$2010/kW,
GCAM 7.0,Capital Cost|Electricity|Nuclear,US$2010/kW,elec_capital_clean
GCAM 7.0,Capital Cost|Electricity|Solar|CSP,US$2010/kW,elec_capital_clean
GCAM 7.0,Capital Cost|Electricity|Solar|PV,US$2010/kW,elec_capital_clean
GCAM 7.0,Capital Cost|Electricity|Wind|Offshore,US$2010/kW,elec_capital_clean
GCAM 7.0,Capital Cost|Electricity|Wind|Onshore,US$2010/kW,elec_capital_clean
GCAM 7.0,Capital Cost|Gases|Biomass|w/o CCS,US$2010/kW,
GCAM 7.0,Capital Cost|Gases|Coal|w/o CCS,US$2010/kW,
GCAM 7.0,Capital Cost|Hydrogen|Biomass|w/ CCS,US$2010/kW,
GCAM 7.0,Capital Cost|Hydrogen|Biomass|w/o CCS,US$2010/kW,
GCAM 7.0,Capital Cost|Hydrogen|Coal|w/ CCS,US$2010/kW,
GCAM 7.0,Capital Cost|Hydrogen|Coal|w/o CCS,US$2010/kW,
GCAM 7.0,Capital Cost|Hydrogen|Electricity,US$2010/kW,
GCAM 7.0,Capital Cost|Hydrogen|Gas|w/ CCS,US$2010/kW,
GCAM 7.0,Capital Cost|Hydrogen|Gas|w/o CCS,US$2010/kW,
GCAM 7.0,Capital Cost|Industry|Cement,Index (2020 = 1),
GCAM 7.0,Capital Cost|Industry|Steel,Index (2020 = 1),
GCAM 7.0,Capital Cost|Liquids|Biomass|w/ CCS,US$2010/kW,
GCAM 7.0,Capital Cost|Liquids|Biomass|w/o CCS,US$2010/kW,
GCAM 7.0,Capital Cost|Liquids|Coal|w/ CCS,US$2010/kW,
GCAM 7.0,Capital Cost|Liquids|Coal|w/o CCS,US$2010/kW,
GCAM 7.0,Capital Cost|Liquids|Gas|w/ CCS,US$2010/kW,
GCAM 7.0,Capital Cost|Liquids|Gas|w/o CCS,US$2010/kW,
GCAM 7.0,Capital Cost|Liquids|Oil,US$2010/kW,
GCAM 7.0,Capital Cost|Residential and Commercial|Cooling,Index (2020 = 1),
GCAM 7.0,Capital Cost|Residential and Commercial|Heating,Index (2020 = 1),
GCAM 7.0,Capital Cost|Transportation,Index (2020 = 1),
GCAM 7.0,Carbon Intensity|Production|Cement|Industrial Processes,Mt CO2-equiv/Mt,
GCAM 7.0,Carbon Intensity|Production|Chemicals,Mt CO2-equiv/Mt,
GCAM 7.0,Carbon Intensity|Production|Chemicals|Fossil|Energy|Demand|Industry,Mt CO2-equiv/Mt,
GCAM 7.0,Carbon Intensity|Production|Chemicals|High value chemicals,Mt CO2-equiv/Mt,
GCAM 7.0,Carbon Intensity|Production|Chemicals|High value chemicals|Fossil|Energy|Demand|Industry,Mt CO2-equiv/Mt,
GCAM 7.0,Carbon Intensity|Production|Chemicals|Methanol|Fossil|Energy|Demand|Industry,Mt CO2-equiv/Mt,
GCAM 7.0,Carbon Intensity|Production|Chemicals|Methanol|Industrial Processes,Mt CO2-equiv/Mt,
GCAM 7.0,Carbon Intensity|Production|Chemicals|Other|Industrial Processes,Mt CO2-equiv/Mt,
GCAM 7.0,Carbon Intensity|Production|Plastics|Fossil|Energy|Demand|Industry,Mt CO2-equiv/Mt,
GCAM 7.0,Carbon Intensity|Production|Plastics|Industrial Processes,Mt CO2-equiv/Mt,
GCAM 7.0,Carbon Intensity|Production|Pulp and Paper,Mt CO2-equiv/Mt,
GCAM 7.0,Carbon Intensity|Production|Pulp and Paper|Fossil|Energy|Demand|Industry,Mt CO2-equiv/Mt,
GCAM 7.0,Carbon Intensity|Production|Pulp and Paper|Industrial Processes,Mt CO2-equiv/Mt,
GCAM 7.0,Carbon Intensity|Production|Steel,Mt CO2-equiv/Mt,
GCAM 7.0,Carbon Intensity|Production|Steel|Fossil|Energy|Demand|Industry,Mt CO2-equiv/Mt,
GCAM 7.0,Carbon Intensity|Production|Steel|Industrial Processes,Mt CO2-equiv/Mt,
GCAM 7.0,Carbon Sequestration|CCS,Mt CO2/yr,co2_sequestration_clean
GCAM 7.0,Carbon Sequestration|CCS|Biomass,Mt CO2/yr,co2_sequestration_clean
GCAM 7.0,Carbon Sequestration|CCS|Biomass|Energy|Demand|Industry,Mt CO2/yr,co2_sequestration_clean
GCAM 7.0,Carbon Sequestration|CCS|Biomass|Energy|Supply,Mt CO2/yr,co2_sequestration_clean
GCAM 7.0,Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity,Mt CO2/yr,co2_sequestration_clean
GCAM 7.0,Carbon Sequestration|CCS|Biomass|Energy|Supply|Hydrogen,Mt CO2/yr,co2_sequestration_clean
GCAM 7.0,Carbon Sequestration|CCS|Biomass|Energy|Supply|Liquids,Mt CO2/yr,co2_sequestration_clean
GCAM 7.0,Carbon Sequestration|CCS|Fossil,Mt CO2/yr,co2_sequestration_clean
GCAM 7.0,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry,Mt CO2/yr,co2_sequestration_clean
GCAM 7.0,Carbon Sequestration|CCS|Fossil|Energy|Supply,Mt CO2/yr,co2_sequestration_clean
GCAM 7.0,Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity,Mt CO2/yr,co2_sequestration_clean
GCAM 7.0,Carbon Sequestration|CCS|Fossil|Energy|Supply|Hydrogen,Mt CO2/yr,co2_sequestration_clean
GCAM 7.0,Carbon Sequestration|CCS|Fossil|Energy|Supply|Liquids,Mt CO2/yr,co2_sequestration_clean
GCAM 7.0,Carbon Sequestration|CCS|Industrial Processes,Mt CO2/yr,co2_sequestration_clean
GCAM 7.0,Carbon Sequestration|Direct Air Capture,Mt CO2/yr,co2_sequestration_clean
GCAM 7.0,Carbon Sequestration|Feedstocks,Mt CO2/yr,
GCAM 7.0,Carbon Sequestration|Land Use,Mt CO2/yr,
GCAM 7.0,Carbon Sequestration|Land Use|Afforestation,Mt CO2/yr,
GCAM 7.0,Concentration|CH4,ppb,
GCAM 7.0,Concentration|CO2,ppm,co2_concentration_clean
GCAM 7.0,Concentration|N2O,ppb,
GCAM 7.0,Consumption,billion US$2010/yr,
GCAM 7.0,Emissions|BC,Mt BC/yr,nonco2_clean
GCAM 7.0,Emissions|BC|AFOLU,Mt BC/yr,nonco2_clean
GCAM 7.0,Emissions|BC|Energy,Mt BC/yr,nonco2_clean
GCAM 7.0,Emissions|BC|Energy|Demand|Industry,Mt BC/yr,nonco2_clean
GCAM 7.0,Emissions|BC|Energy|Demand|Residential and Commercial,Mt BC/yr,nonco2_clean
GCAM 7.0,Emissions|BC|Energy|Demand|Transportation,Mt BC/yr,nonco2_clean
GCAM 7.0,Emissions|BC|Energy|Supply,Mt BC/yr,nonco2_clean
GCAM 7.0,Emissions|C2F6,kt C2F6/yr,nonco2_clean
GCAM 7.0,Emissions|C6F14,kt C6F14/yr,nonco2_clean
GCAM 7.0,Emissions|CF4,kt CF4/yr,nonco2_clean
GCAM 7.0,Emissions|CH4,Mt CH4/yr,nonco2_clean
GCAM 7.0,Emissions|CH4|AFOLU,Mt CH4/yr,nonco2_clean
GCAM 7.0,Emissions|CH4|Energy,Mt CH4/yr,nonco2_clean
GCAM 7.0,Emissions|CH4|Energy|Demand|Industry,Mt CH4/yr,nonco2_clean
GCAM 7.0,Emissions|CH4|Energy|Demand|Residential and Commercial,Mt CH4/yr,nonco2_clean
GCAM 7.0,Emissions|CH4|Energy|Demand|Transportation,Mt CH4/yr,nonco2_clean
GCAM 7.0,Emissions|CH4|Energy|Supply,Mt CH4/yr,nonco2_clean
GCAM 7.0,Emissions|CH4|Other,Mt CH4/yr,nonco2_clean
GCAM 7.0,Emissions|CO,Mt CO/yr,nonco2_clean
GCAM 7.0,Emissions|CO|AFOLU,Mt CO/yr,nonco2_clean
GCAM 7.0,Emissions|CO|Energy,Mt CO/yr,nonco2_clean
GCAM 7.0,Emissions|CO|Energy|Demand|Industry,Mt CO/yr,nonco2_clean
GCAM 7.0,Emissions|CO|Energy|Demand|Residential and Commercial,Mt CO/yr,nonco2_clean
GCAM 7.0,Emissions|CO|Energy|Demand|Transportation,Mt CO/yr,nonco2_clean
GCAM 7.0,Emissions|CO|Energy|Supply,Mt CO/yr,nonco2_clean
GCAM 7.0,Emissions|CO2,Mt CO2/yr,tot_co2_clean
GCAM 7.0,Emissions|CO2|AFOLU,Mt CO2/yr,co2_emissions_clean
GCAM 7.0,Emissions|CO2|Energy,Mt CO2/yr,co2_emissions_clean
GCAM 7.0,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,co2_emissions_clean
GCAM 7.0,Emissions|CO2|Energy|Demand,Mt CO2/yr,co2_emissions_clean
GCAM 7.0,Emissions|CO2|Energy|Demand|AFOFI,Mt CO2/yr,co2_emissions_clean
GCAM 7.0,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,co2_emissions_clean
GCAM 7.0,Emissions|CO2|Energy|Demand|Industry|Cement,Mt CO2/yr,co2_emissions_clean
GCAM 7.0,Emissions|CO2|Energy|Demand|Industry|Chemicals,Mt CO2/yr,co2_emissions_clean
GCAM 7.0,Emissions|CO2|Energy|Demand|Industry|Chemicals|Ammonia,Mt CO2/yr,co2_emissions_clean
GCAM 7.0,Emissions|CO2|Energy|Demand|Industry|Chemicals|High value chemicals,Mt CO2/yr,
GCAM 7.0,Emissions|CO2|Energy|Demand|Industry|Chemicals|Methanol,Mt CO2/yr,
GCAM 7.0,Emissions|CO2|Energy|Demand|Industry|Chemicals|Other,Mt CO2/yr,
GCAM 7.0,Emissions|CO2|Energy|Demand|Industry|Non-ferrous metals,Mt CO2/yr,co2_emissions_clean
GCAM 7.0,Emissions|CO2|Energy|Demand|Industry|Other,Mt CO2/yr,co2_emissions_clean
GCAM 7.0,Emissions|CO2|Energy|Demand|Industry|Plastics,Mt CO2/yr,
GCAM 7.0,Emissions|CO2|Energy|Demand|Industry|Pulp and Paper,Mt CO2/yr,
GCAM 7.0,Emissions|CO2|Energy|Demand|Industry|Steel,Mt CO2/yr,co2_emissions_clean
GCAM 7.0,Emissions|CO2|Energy|Demand|Residential and Commercial,Mt CO2/yr,co2_emissions_clean
GCAM 7.0,Emissions|CO2|Energy|Demand|Residential and Commercial|Commercial,Mt CO2/yr,co2_emissions_clean
GCAM 7.0,Emissions|CO2|Energy|Demand|Residential and Commercial|Residential,Mt CO2/yr,co2_emissions_clean
GCAM 7.0,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,co2_emissions_clean
GCAM 7.0,Emissions|CO2|Energy|Demand|Transportation|Aviation,Mt CO2/yr,
GCAM 7.0,Emissions|CO2|Energy|Demand|Transportation|Aviation|Freight,Mt CO2/yr,
GCAM 7.0,Emissions|CO2|Energy|Demand|Transportation|Aviation|Passenger,Mt CO2/yr,
GCAM 7.0,Emissions|CO2|Energy|Demand|Transportation|Freight,Mt CO2/yr,co2_emissions_clean
GCAM 7.0,Emissions|CO2|Energy|Demand|Transportation|Maritime,Mt CO2/yr,
GCAM 7.0,Emissions|CO2|Energy|Demand|Transportation|Maritime|Freight,Mt CO2/yr,
GCAM 7.0,Emissions|CO2|Energy|Demand|Transportation|Maritime|Passenger,Mt CO2/yr,
GCAM 7.0,Emissions|CO2|Energy|Demand|Transportation|Passenger,Mt CO2/yr,co2_emissions_clean
GCAM 7.0,Emissions|CO2|Energy|Demand|Transportation|Rail,Mt CO2/yr,
GCAM 7.0,Emissions|CO2|Energy|Demand|Transportation|Rail|Freight,Mt CO2/yr,
GCAM 7.0,Emissions|CO2|Energy|Demand|Transportation|Road|Passenger|Bus,Mt CO2/yr,
GCAM 7.0,Emissions|CO2|Energy|Supply,Mt CO2/yr,co2_emissions_clean
GCAM 7.0,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,co2_emissions_clean
GCAM 7.0,Emissions|CO2|Energy|Supply|Heat,Mt CO2/yr,co2_emissions_clean
GCAM 7.0,Emissions|CO2|Energy|Supply|Gases,Mt CO2/yr,co2_emissions_clean
GCAM 7.0,Emissions|CO2|Energy|Supply|Solids,Mt CO2/yr,co2_emissions_clean
GCAM 7.0,Emissions|CO2|Energy|Supply|Liquids,Mt CO2/yr,co2_emissions_clean
GCAM 7.0,Emissions|CO2|Industrial Processes,Mt CO2/yr,co2_emissions_clean
GCAM 7.0,Emissions|CO2|Industrial Processes|Chemicals,Mt CO2/yr,
GCAM 7.0,Emissions|CO2|Industrial Processes|Chemicals|High value chemicals,Mt CO2/yr,
GCAM 7.0,Emissions|CO2|Industrial Processes|Chemicals|Methanol,Mt CO2/yr,
GCAM 7.0,Emissions|CO2|Industrial Processes|Chemicals|Other,Mt CO2/yr,
GCAM 7.0,Emissions|CO2|Industrial Processes|Non-ferrous metals,Mt CO2/yr,
GCAM 7.0,Emissions|CO2|Industrial Processes|Other,Mt CO2/yr,
GCAM 7.0,Emissions|CO2|Other,Mt CO2/yr,co2_emissions_clean
GCAM 7.0,Emissions|CO2|Other|DACCS,Mt CO2/yr,co2_emissions_clean
GCAM 7.0,Emissions|F-Gases,Mt CO2-equiv/yr,f_gas_clean
GCAM 7.0,Emissions|HFC,kt HFC134a-equiv/yr,nonco2_clean
GCAM 7.0,Emissions|HFC|HFC125,kt HFC125/yr,nonco2_clean
GCAM 7.0,Emissions|HFC|HFC134a,kt HFC134a/yr,nonco2_clean
GCAM 7.0,Emissions|HFC|HFC143a,kt HFC143a/yr,nonco2_clean
GCAM 7.0,Emissions|HFC|HFC227ea,kt HFC227ea/yr,nonco2_clean
GCAM 7.0,Emissions|HFC|HFC23,kt HFC23/yr,nonco2_clean
GCAM 7.0,Emissions|HFC|HFC245fa,kt HFC245fa/yr,nonco2_clean
GCAM 7.0,Emissions|HFC|HFC32,kt HFC32/yr,nonco2_clean
GCAM 7.0,Emissions|HFC|HFC43-10,kt HFC43-10/yr,
GCAM 7.0,Emissions|N2O,kt N2O/yr,nonco2_clean
GCAM 7.0,Emissions|N2O|AFOLU,kt N2O/yr,nonco2_clean
GCAM 7.0,Emissions|N2O|Energy,kt N2O/yr,nonco2_clean
GCAM 7.0,Emissions|N2O|Other,kt N2O/yr,nonco2_clean
GCAM 7.0,Emissions|NH3,Mt NH3/yr,nonco2_clean
GCAM 7.0,Emissions|NH3|AFOLU,Mt NH3/yr,nonco2_clean
GCAM 7.0,Emissions|NH3|Energy,Mt NH3/yr,nonco2_clean
GCAM 7.0,Emissions|NH3|Energy|Demand|Industry,Mt NH3/yr,nonco2_clean
GCAM 7.0,Emissions|NH3|Energy|Demand|Residential and Commercial,Mt NH3/yr,nonco2_clean
GCAM 7.0,Emissions|NH3|Energy|Demand|Transportation,Mt NH3/yr,nonco2_clean
GCAM 7.0,Emissions|NH3|Energy|Supply,Mt NH3/yr,nonco2_clean
GCAM 7.0,Emissions|NOx,Mt NO2/yr,nonco2_clean
GCAM 7.0,Emissions|NOx|AFOLU,Mt NO2/yr,nonco2_clean
GCAM 7.0,Emissions|NOx|Energy,Mt NO2/yr,nonco2_clean
GCAM 7.0,Emissions|NOx|Energy|Demand|Industry,Mt NO2/yr,nonco2_clean
